公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300071,华谊嘉信,北京华谊嘉信整合营销顾问集团股份有限公司,Spearhead Integrated Marketing Communication Group,北京市石景山区实兴大街30号院8号楼512,300071,华谊嘉信,2010-04-21,"678,491,488","441,900,197",,,,0,0,华北,北京,北京市,L 商务服务,www.spearhead.com.cn
300072,三聚环保,北京三聚环保新材料股份有限公司,"Beijing Sanju Environmental Protection & New Materials Co.,Ltd.",北京市海淀区人大北路33号1号楼大行基业大厦9层,300072,三聚环保,2010-04-27,"1,808,079,963","1,373,671,326",,,,0,0,华北,北京,北京市,C 制造业,www.sanju.cn
300073,当升科技,北京当升材料科技股份有限公司,"Beijing Easpring Material Technology Co.,Ltd.",北京市丰台区南四环西路188号总部基地18区21号,300073,当升科技,2010-04-27,"366,068,040","333,413,262",,,,0,0,华北,北京,北京市,C 制造业,www.easpring.com.cn
300074,华平股份,华平信息技术股份有限公司,"AVCON Information Technology Co., Ltd.",上海市杨浦区国权北路1688弄69号,300074,华平股份,2010-04-27,"542,771,100","461,063,317",,,,0,0,华东,上海,上海市,I 信息技术,www.avcon.com.cn
300075,数字政通,北京数字政通科技股份有限公司,"Beijing eGOVA Co., Ltd",北京市海淀区西直门北大街32号枫蓝国际中心A座楼18层1805室,300075,数字政通,2010-04-27,"424,626,905","272,211,523",,,,0,0,华北,北京,北京市,I 信息技术,www.egova.com.cn
300076,GQY视讯,宁波GQY视讯股份有限公司,"Ningbo GQY Video & Telecom Joint-Stock Co., Ltd.",浙江省宁波杭州湾新区滨海四路131号,300076,GQY视讯,2010-04-30,"424,000,000","368,234,486",,,,0,0,华东,浙江,宁波市,C 制造业,www.gqy.com.cn
300077,国民技术,国民技术股份有限公司,Nationz Technologies Inc.,广东省深圳市南山区高新技术产业园区深圳软件园3栋301、302,300077,国民技术,2010-04-30,"563,393,000","542,416,700",,,,0,0,华南,广东,深圳市,C 制造业,www.nationz.com.cn
300078,思创医惠,思创医惠科技股份有限公司,"HANGZHOU CENTURY CO.,LTD.",浙江省杭州市莫干山路1418-25号(上城科技经济园),300078,思创医惠,2010-04-30,"807,885,334","493,953,345",,,,0,0,华东,浙江,杭州市,C 制造业,www.century-cn.com
300079,数码科技,北京数码视讯科技股份有限公司,"Sumavision Technologies Co.,Ltd",北京市海淀区上地信息产业基地开拓路15号1幢,300079,数码科技,2010-04-30,"1,377,793,862","1,208,306,507",,,,0,0,华北,北京,北京市,C 制造业,www.sumavision.com
300080,易成新能,河南易成新能源股份有限公司,"Henan Yicheng New Energy Co., Ltd",河南省开封市精细化工产业园区,300080,易成新能,2010-06-25,"502,804,021","502,017,465",,,,0,0,华中,河南,开封市,C 制造业,www.ycne.com.cn
300081,恒信东方,恒信东方文化股份有限公司,"HENGXIN SHAMBALA CULTURE CO.,LTD.",河北省石家庄市开发区天山大街副69号,300081,恒信东方,2010-05-20,"514,607,876","245,271,358",,,,0,0,华北,河北,石家庄市,F 批发零售,www.hxgro.com
